metric,value
count,23388
missing,4006
mean,2.0423293996921497
std,14.185158274219123
min,0.0
max,400.0
q_1,0.0
q_5,0.0
q_25,0.0
q_50,0.0
q_75,0.0
q_95,2.0
q_99,70.0
skew,11.905362509942753
kurtosis,200.94273587010025
outliers_count,1343
psd_peak_freq,0.00390625
