metric,value
count,11077
missing,16317
mean,1017.2728265775934
std,8.208251892653397
min,980.0
max,1045.1
q_1,996.1
q_5,1003.3
q_25,1012.4
q_50,1017.2
q_75,1022.4
q_95,1031.2
q_99,1036.424
skew,-0.14909579022395386
kurtosis,0.5394186442446234
outliers_count,220
psd_peak_freq,0.00390625
