metric,value
count,27394
missing,0
mean,10.691910637365845
std,7.4596844800426725
min,-14.8
max,29.6
q_1,-6.1
q_5,-1.4
q_25,5.1
q_50,10.9
q_75,16.6
q_95,22.2
q_99,25.0
skew,-0.17002509413391406
kurtosis,-0.632884588144297
outliers_count,18
psd_peak_freq,0.00390625
