metric,value
count,18498
missing,8896
mean,10.129300464915126
std,5.636587008769021
min,0.0
max,93.6
q_1,2.2
q_5,3.5
q_25,6.0
q_50,8.9
q_75,13.0
q_95,20.9
q_99,27.5
skew,1.480096651690514
kurtosis,5.736861434413534
outliers_count,501
psd_peak_freq,0.00390625
