metric,value
count,27394
missing,0
mean,1.713068555158064
std,3.94986339689521
min,0.0
max,66.3
q_1,0.0
q_5,0.0
q_25,0.0
q_50,0.0
q_75,1.6
q_95,8.9
q_99,19.3
skew,4.578230875362802
kurtosis,31.99638730388274
outliers_count,3675
psd_peak_freq,0.00390625
