metric,value
count,16093
missing,11301
mean,30.403958242714225
std,14.029083365665118
min,1.8
max,143.6
q_1,7.9
q_5,12.2
q_25,20.5
q_50,28.1
q_75,37.8
q_95,57.0
q_99,74.0
skew,1.092517982118287
kurtosis,2.0163901528837664
outliers_count,428
psd_peak_freq,0.00390625
