metric,value
count,27394
missing,0
mean,6.331576257574651
std,6.666169714266902
min,-23.2
max,23.8
q_1,-10.3
q_5,-4.3
q_25,1.3
q_50,6.6
q_75,11.7
q_95,16.4
q_99,18.6
skew,-0.2975817301630977
kurtosis,-0.3079371382752063
outliers_count,77
psd_peak_freq,0.00390625
