metric,value
count,14429
missing,12965
mean,297.07491856677524
std,273.32962772159084
min,0.0
max,930.0
q_1,0.0
q_5,0.0
q_25,30.0
q_50,234.0
q_75,522.0
q_95,798.0
q_99,876.0
skew,0.5337499881002365
kurtosis,-1.0186634286746616
outliers_count,0
psd_peak_freq,0.00390625
